Standard:, axo_std.mca0,,,,,,,,,,,,,,,,,,,,,,
realtime[s]:,121.911,121.911,,,,,,,,,,,,,,,,,,,,,
livetime[s]:,119.804,119.804,,,,,,,,,,,,,,,,,,,,,
I_[mA]:,101.966,,,,,,,,,,,,,,,,,,,,,,
US_IC[cts/s]:,"	231435.0",,,,,,,,,,,,,,,,,,,,,,
DS_IC[cts/s]:,"	189396.0",,,,,,,,,,,,,,,,,,,,,,
US_AMP[sensitivity/units/factor]:,100, nA/V,1,,,,,,,,,,,,,,,,,,,,
DS_AMP[sensitivity/units/factor]:,5, nA/V,50,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
name , z, units[DS_IC], units[US_IC], units[SRCurrent], units[1], use, calib, center, shift, width, bkground_left, bkground_right, left_roi[0], right_roi[0], left_bkground[0], right_bkground[0], absorption_1um_element, Be_window_transmission, Ge_dead_layer_transmission, XRF_yield, fraction_photons_absorbed_in_det, air_absoprtion, total_XRF_efficiency_factor
Pd,46, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,21.18,0,295,73,73,0,0,0,0,0.000973812,0.999837703,1,0.820407843,0.236399418,1,0.211603163
Ag,47, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,22.166,0,305,76,76,0,0,0,0,0.001032547,0.99986054,1,0.831344668,0.209021832,1,0.201031247
Cd,48, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,23.175,0,315,78,78,0,0,0,0,0.001102243,0.999879757,1,0.84146906,0.184889447,1,0.192139596
In,49, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,24.209,0,326,81,81,0,0,0,0,0.001133389,0.999896022,1,0.850841569,0.163614086,1,0.176784767
Sn,50, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,25.272,0,338,84,84,0,0,0,0,0.001220049,0.999909878,1,0.859519246,0.144816707,1,0.17015862
Sb,51, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,26.359,0,350,87,87,0,0,0,0,0.001225392,0.999921662,1,0.867555536,0.128301268,1,0.152830753
Te,52, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,27.471,0,362,90,90,0,0,0,0,0.001397102,0.999931724,1,0.875000279,0.113782051,1,0.155855446
I,53, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,28.615,0,374,93,93,0,0,0,0,0.001443405,0.999940391,1,0.881899773,0.100943909,1,0.143980306
Hf,72, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,55.81,0,686,171,171,0,0,0,0,0.002114573,0.999985937,1,0.950478801,0.032534308,1,0.073272657
dummy,0, cts/s, cts/s, cts/s, cts/s,0,0,0,0,150,37,37,0,0,0,0,0,0,0,0,1,0,0
Mo_L,42, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,2.293,0,152,38,38,0,0,0,0,0.000338901,0.805392694,1,0.03,1,1,0.00917579
Ag_L,47, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,2.984,0,154,38,38,0,0,0,0,0.000448867,0.90894758,1,0.0418,1,1,0.019110604
Sn_L,50, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,3.443,0,155,38,38,0,0,0,0,0.00050674,0.941075296,1,0.0504,1,1,0.026932821
Cd_L,48, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,3.133,0,154,38,38,0,0,0,0,0.000475539,0.921401943,1,0.0447,1,1,0.021947478
I_L,53, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,3.937,0,157,39,39,0,0,0,0,0.000593267,0.961042704,1,0.0624,1,1,0.039867525
Cs_L,55, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,4.286,0,158,39,39,0,0,0,0,0.000678397,0.970154071,1,0.071,1,1,0.052362958
Ba_L,56, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,4.465,0,159,39,39,0,0,0,0,0.000714123,0.973766469,1,0.0756,1,1,0.058910276
Eu_L,63, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,5.8451,0,165,41,41,0,0,0,0,0.000951065,0.988874532,1,0.1148,0.999995377,1,0.120985381
Gd_L,64, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,6.0561,0,166,41,41,0,0,0,0,0.001030195,0.990073066,1,0.1213,0.999984823,1,0.138637975
W_L,74, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,8.3958,0,180,45,45,0,0,0,0,0.001345213,0.996560238,1,0.1958,0.986474652,1,0.290158169
Pt_L,78, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,1,2,9.4411,0,187,46,46,0,0,0,0,0.000610742,0.997656629,1,0.2285,0.952661503,1,0.148629541
Au_L,79, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,9.7118,0,189,47,47,0,0,0,0,0.00063952,0.997863655,1,0.2367,0.939611079,1,0.159042524
Hg_L,80, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,9.9872,0,191,47,47,0,0,0,0,0.000660769,0.998050441,1,0.245,0.92460122,1,0.167403284
Pb_L,82, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,10.55,0,196,49,49,0,0,0,0,0.000704885,0.998370632,1,0.2615,0.889060967,1,0.183339061
U_L,92, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,2,13.612,0,221,55,55,0,0,0,0,0.001025757,0.999294958,1,0.3455,0.643220375,1,0.255262818
